"selection1_name","selection1_Text_name","selection1_Heading","selection1_Data"
"","От такого приёма неловко может стать тому, кто посягал на ваше спокойствие. Фаина Раневская говорила: «Он тебе зло – а ты ему конфетку». Поэтому лесть и комплименты — главное оружие. Сам акт доброты меняет ход вещей.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- Ты такая шикарная и красивая женщина. Трудно поверить, что ты можешь обидеть намерено. Наверное, не специально сказала это.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","6. Смените тему.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Поменяйте положение тела, встаньте или пересядьте и незаметно переведите разговор на другую тему. Будто вы думали над ответом, но внезапно вас посетила очень важная мысль:","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- Ой, посмотри, какая прекрасная ваза, где ты её купила? Давно хотела такую в свой интерьер!","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Если вам очень хочется ответить и поддаться обидчику, то помните, что спор или переход на взаимное хамство несет в себе репутационный риск. Вы можете стать заложником ситуации, развязка которой, и ваша реакция изменит общественное мнение или мнение окружающих о вас. Это почти никогда не заканчивается безболезненно. Потому что когда споришь с дураком, со стороны не понятно, кто главный дурак.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","А как вы реагируете на хамское поведение?","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Даже если тот или иной актер идеально подходит на роль того или иного персонажа, то его голос может совсем не соответствовать режиссерской задумке. Ну не отказываться же теперь от актера из-за голоса, тем более, что его всегда можно переозвучить.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","И сегодня я хотел бы вспомнить актеров из культовых советских фильмов, которых переозвучили по тем или иным причинам, будь то несоответствие голоса, сильный акцент, неопытность или личная месть.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Игорь Старыгин","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","В фильме Георгия Юнгвальда-Хилькевича ""Д'Артаньян и три мушкетера"" Игорь Старыгин сыграл роль обаятельного и романтичного мушкетера Арамиса. Старыгин обладал яркой и интересной внешностью, которая отлично походила для его персонажа. Вот только у самого актера был небольшой дефект речи, из-за чего его решено переозвучить. В итоге в фильме Арамис разговаривал голосом Игоря Ясуловича, причем на протяжении всех фильмов о мушкетерах.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Наталья Варлей","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","В начале своей карьере Наталье Варлей просто не везло с озвучкой. В фильмах ""Кавказская пленница, или новые приключения Шурика"" и ""12 стульев"" ее героини Нина и Лиза говорят голосом Надежды Румянцевой. Узнав о том, что ее ""лишат"" голоса, Варлей сильно расстроилась. Более того, ее голос не подошел и для вокальных партий в фильме ""Кавказская пленница"". Сама же актриса решила, что Гайдай просто затаил на нее обиду, о чем она рассказала в своей книге ""Канатаходка"".","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Но спустя много лет Гайдай решил реабилитироваться перед актрисой и пригласил ее на озвучку американской актрисы Келли МакГрилл в своем последнем фильме ""На Дерибасовской хорошая погода, на Брайтон Бич опять идут дожди"".","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Также, в фильме ""Вий"" Наталья Варлей, сыгравшая Панночку, также говорила не своим голосом. В этом фильме она говорит голосом известной актрисы озвучания Клары Румяновой.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Сергей Жигунов","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Из всех героев фильма ""Гардемарины, вперед!"" лишь Дмитрий Харатьян и Михаил Боярский говорили своими голосами и сами исполняли вокальные партии свои персонажей. А вот Сергею Жигунову не повезло, так как его голос не подходил Саше Белову, роль которого он сыграл в фильме. В итоге, в фильме он говорит голосом Олега Меньщикова.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Но когда речь зашла о переозвучке во втором фильме ""Виват, гардемарины!"", то Олег Меньщиков уже отказался от озвучки из-за сильной занятости. Тогда озвучить Сергея Жигунова было предложено Александру Домагарову.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Но самое интересное, что в фильме ""Гардемарины 3"" Домагаров уже сам появился в кадре, а вот Жигунова уже не было.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Владимир Шевельков","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Не будем далеко отходить от фильма ""Гардемарины, вперед!"", ведь Владимир Шевельков, сыгравший Никиту Оленева, также разговаривает в фильме не своим голосом. Вместо его голоса мы слышим голос Андрея Гриневича.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","А в фильме ""Поезд вне расписания"", который вышел за два года до ""Гардемаринов"" Владимир Шевельков также говорит не своим голосом. В данном фильме персонаж Шевелькова говорит голосом Вячеслава Баранова.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Борислав Брондуков","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Борислав Брондуков просто идеально подходил на роль инспектора Лестрейда для фильма ""Приключения Шерлока Холмса и доктора Ватсона"", но вот его украинский акцент явно подходил его персонажу, поэтому режиссер решил, что Брондукова нужно переозвучить. В итоге в фильме инспектор Лейстред говорит голосом Игоря Ефимова.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Игорь Евграфов","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Изначально роль профессора Мориарти для фильма ""Приключения Шерлока Холмса и доктора Ватсона"" предназначалась для Иннокентия Смоктуновского, а Игорь Евграфов должен был лишь отыгрывать боевые сцены. Но когда режиссер увидел, насколько хорош Евграфов в гриме, то он тут же решил, что он намного больше походит на роль Мориарти. В итоге именно каскадер Игорь Евграфов исполнил роль главного антагониста.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Вот только голос Евграфова совсем не подходил для этой роли, поэтому режиссер решил позвать на озвучку Олега Даля.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Ирина Алферова","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Режиссер Георгий Юнгвальд-Хилькевич решил, что голос Ирины Алферовой не очень подходит ее героине Констанции для фильма ""Д'Артаньян и три мушкетера"". Поэтому на озвучку Констанции он решил подтянуть Анастасию Вертинскую, дабы подтянуть голос к персонажу.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Правда, спустя некоторое время режиссеру стало стыдно перед Ириной Алферовой. Он даже отметил, что нельзя так делать, и что режиссерская диктатура весьма опасна.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Михаил Светин","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Режиссер Георгий Данелия пригласил Михаила Светина сыграть небольшую роль брата жены Федула в фильме ""Афоня"". Режиссер сказал артисту, что съемки займут три дня, но в итоге съемки фильма немного выбились из графика, поэтому он попросил Светина задержаться на 1 день, чтобы отснять необходимые сцены.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Вот только принципиальный Светин ни в какую не хотел оставаться на лишний день, сказав, что у него есть срочные дела. Хотя, позже актер признавался, что он мог бы остаться, и очень жалеет о том, что не сделал этого.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","В итоге, сцены снимали в спешке, да и то удалось отснять не все сцены, где должен был присутствовать Светин. В результате Данелия настолько сильно обиделся на актера, что зарекся работать с ним когда-либо еще. Более того, в отместку он реши лишить персонажа Светина голоса. В итоге, в фильме мы слышим голос другого актера.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Дмитрий Марьянов","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","В начале своей карьеры, актер Дмитрий Марьянов говорил в фильмах не своим голосом. Так, например, в фильме ""Выше радуги"" его озвучил Дмитрий Харатьян, а в фильме Эльдара Рязанова ""Дорогая Елена Сергеевна"" он говорит голосом Андрея Ташкова.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Светлана Светличная","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Естественно. мы никогда не забудем неподражаемую Светлану Светличную в роли красотки Анны Сергеевны в фильме ""Бриллиантовая рука"". Вот только режиссер Леонид Гайдай решил, что голос самой Светличной явно не соответствует ее образу, так как он довольно простоват, а нужно, чтобы голос был притягивающим и сексуальным. Поэтому в фильме Анна Сергеевна говорит голосом Зои Толбузиной.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Саму Светличную обидело такое высказывание Гайдая. Она даже сказала, что с сексуальностью у нее все в порядке, и при желании она могла бы говорить любым голосом.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Но кстати, ту самую фразу ""Не виноватая я, он сам пришел!"" почему-то забыли переозвучить, поэтому в данной сцене (единственной) мы слышим именно голос Светличной.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Александр Трофимов","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","И вновь вернемся к фильму ""Д'Артатьян и три мушкетера"". Помимо Старыгина и Алферовой своего голоса лишился и актер Александр Трофимов. Режиссер решил, что его голос не подходит для кардинала Решелье, поэтому на озвучку он пригласил Михаила Козакова.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Лариса Гузеева","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Режиссер Эльдар Рязанов шел на большой риск, когда брал на главную роль в фильме ""Жестокий романс"" студентку Ларису Гузееву. И по его же словам в начале с актрисой пришлось даже сильно помучаться. Но уже во второй половине всего съемочного процесса работать с актрисой стало гораздо легче. Гузеева действительно смогла показать себя как трудолюбивая и дисциплинированная актриса.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Но проблема заключалась не только в неопытности Гузеевой, а еще и в том, что у нее был довольно низкий голос, который не соответствовал ее героине. В итоге, Рязанов пригласил на озвучку актрису Ирину Каменкову.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Наталья Данилова","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","В фильме ""Место встречи изменить нельзя"" роль сержанта Вари Синичкиной исполнила актриса Наталья Данилова. Молодая актриса смогла прекрасно сыграть эту роль, но режиссер решил, что ее грудной голос не подходит для романтичной девушки, из-за чего он пригласил актрису Наталью Рычагову на озвучку.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
"","Сама же Данилова была в шоке, когда узнала, что ее переозвучила другая актриса. Она была просто вне себя от злости и даже не понимала, почему не подошел ее голос. В одном из интервью Данилова рассказала, что режиссер решил переозвуить актрису из-за занятости в театре, но сама актриса сказала, что это чушь собачья.","Кто и почему переозвучил актеров в популярных советских фильмах","2 дня назад"
